ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
PER,11,19,-75.30763472,-10.39655007,-75.57482117,-14.23509723,628.6583426
PER,11,20,-80.33586071,-5.13336099,-75.57482117,-14.23509723,510.1458237
PER,11,21,-69.95307962,-14.93333917,-75.57482117,-14.23509723,514.1554674
PER,11,22,-76.72912743,-7.039530615,-75.57482117,-14.23509723,383.7596007
PER,11,23,-70.27755984,-17.64416077,-75.57482117,-14.23509723,454.7517009
PER,11,24,-80.54525512,-3.857496081,-75.57482117,-14.23509723,216.1188202
PER,11,25,-73.44492865,-9.621717782,-75.57482117,-14.23509723,498.7141097
PER,12,1,-78.05017218,-5.077252864,-74.87696792,-11.54178273,923.975324
PER,12,2,-77.67179525,-9.40712495,-74.87696792,-11.54178273,1637.3399
PER,12,3,-72.97537807,-14.02771348,-74.87696792,-11.54178273,1570.135571
PER,12,4,-72.4755394,-15.84352375,-74.87696792,-11.54178273,1370.530058
PER,12,5,-74.08343953,-14.09164833,-74.87696792,-11.54178273,1670.461181
PER,12,6,-78.74559581,-6.430283524,-74.87696792,-11.54178273,989.6838159
PER,12,7,-69.75730774,-15.68030893,-74.87696792,-11.54178273,1315.561689
PER,12,8,-72.15360886,-13.19106821,-74.87696792,-11.54178273,1653.24925
PER,12,9,-75.00276985,-13.02388758,-74.87696792,-11.54178273,1760.570624
PER,12,10,-76.04064201,-9.421675603,-74.87696792,-11.54178273,1590.991473
PER,12,11,-75.57482117,-14.23509723,-74.87696792,-11.54178273,1633.853909
PER,12,13,-78.37023831,-7.92139022,-74.87696792,-11.54178273,1284.265011
PER,12,14,-79.82411326,-6.353049181,-74.87696792,-11.54178273,902.8353585
PER,12,15,-76.62769784,-11.78596373,-74.87696792,-11.54178273,5618.698806
PER,12,16,-74.42411546,-4.124846854,-74.87696792,-11.54178273,722.0697375
PER,12,17,-70.53171957,-11.97269888,-74.87696792,-11.54178273,1058.94723
PER,12,18,-70.83904631,-16.86027059,-74.87696792,-11.54178273,789.2135907
PER,12,19,-75.30763472,-10.39655007,-74.87696792,-11.54178273,1574.863845
PER,12,20,-80.33586071,-5.13336099,-74.87696792,-11.54178273,1149.409006
PER,12,21,-69.95307962,-14.93333917,-74.87696792,-11.54178273,854.1345976
PER,12,22,-76.72912743,-7.039530615,-74.87696792,-11.54178273,935.0653685
PER,12,23,-70.27755984,-17.64416077,-74.87696792,-11.54178273,644.3571214
PER,12,24,-80.54525512,-3.857496081,-74.87696792,-11.54178273,485.5120939
PER,12,25,-73.44492865,-9.621717782,-74.87696792,-11.54178273,1237.61141
PER,13,1,-78.05017218,-5.077252864,-78.37023831,-7.92139022,2284.24887
PER,13,2,-77.67179525,-9.40712495,-78.37023831,-7.92139022,2883.261633
PER,13,3,-72.97537807,-14.02771348,-78.37023831,-7.92139022,1083.346571
PER,13,4,-72.4755394,-15.84352375,-78.37023831,-7.92139022,955.6096259
PER,13,5,-74.08343953,-14.09164833,-78.37023831,-7.92139022,1181.158691
PER,13,6,-78.74559581,-6.430283524,-78.37023831,-7.92139022,2628.937178
PER,13,7,-69.75730774,-15.68030893,-78.37023831,-7.92139022,907.4390939
PER,13,8,-72.15360886,-13.19106821,-78.37023831,-7.92139022,1147.305241
PER,13,9,-75.00276985,-13.02388758,-78.37023831,-7.92139022,1281.194998
PER,13,10,-76.04064201,-9.421675603,-78.37023831,-7.92139022,2038.006782
PER,13,11,-75.57482117,-14.23509723,-78.37023831,-7.92139022,1250.696035
PER,13,12,-74.87696792,-11.54178273,-78.37023831,-7.92139022,1507.721965
PER,13,14,-79.82411326,-6.353049181,-78.37023831,-7.92139022,2407.448434
PER,13,15,-76.62769784,-11.78596373,-78.37023831,-7.92139022,5374.29459
PER,13,16,-74.42411546,-4.124846854,-78.37023831,-7.92139022,1267.18801
PER,13,17,-70.53171957,-11.97269888,-78.37023831,-7.92139022,772.8620227
PER,13,18,-70.83904631,-16.86027059,-78.37023831,-7.92139022,536.0130285
PER,13,19,-75.30763472,-10.39655007,-78.37023831,-7.92139022,1462.222517
PER,13,20,-80.33586071,-5.13336099,-78.37023831,-7.92139022,3055.782495
PER,13,21,-69.95307962,-14.93333917,-78.37023831,-7.92139022,581.3804835
PER,13,22,-76.72912743,-7.039530615,-78.37023831,-7.92139022,1894.613601
PER,13,23,-70.27755984,-17.64416077,-78.37023831,-7.92139022,445.4105722
PER,13,24,-80.54525512,-3.857496081,-78.37023831,-7.92139022,1302.341434
PER,13,25,-73.44492865,-9.621717782,-78.37023831,-7.92139022,1153.119925
PER,14,1,-78.05017218,-5.077252864,-79.82411326,-6.353049181,1721.639214
PER,14,2,-77.67179525,-9.40712495,-79.82411326,-6.353049181,1488.606673
PER,14,3,-72.97537807,-14.02771348,-79.82411326,-6.353049181,555.8400413
PER,14,4,-72.4755394,-15.84352375,-79.82411326,-6.353049181,491.1411364
PER,14,5,-74.08343953,-14.09164833,-79.82411326,-6.353049181,607.5582961
PER,14,6,-78.74559581,-6.430283524,-79.82411326,-6.353049181,1922.990403
PER,14,7,-69.75730774,-15.68030893,-79.82411326,-6.353049181,457.8465488
PER,14,8,-72.15360886,-13.19106821,-79.82411326,-6.353049181,579.3002538
PER,14,9,-75.00276985,-13.02388758,-79.82411326,-6.353049181,648.2458189
PER,14,10,-76.04064201,-9.421675603,-79.82411326,-6.353049181,1050.787163
PER,14,11,-75.57482117,-14.23509723,-79.82411326,-6.353049181,649.949387
PER,14,12,-74.87696792,-11.54178273,-79.82411326,-6.353049181,773.4948779
PER,14,13,-78.37023831,-7.92139022,-79.82411326,-6.353049181,1728.245873
PER,14,15,-76.62769784,-11.78596373,-79.82411326,-6.353049181,2788.008167
PER,14,16,-74.42411546,-4.124846854,-79.82411326,-6.353049181,827.356807
PER,14,17,-70.53171957,-11.97269888,-79.82411326,-6.353049181,401.5598571
PER,14,18,-70.83904631,-16.86027059,-79.82411326,-6.353049181,275.1107999
PER,14,19,-75.30763472,-10.39655007,-79.82411326,-6.353049181,751.4419001
PER,14,20,-80.33586071,-5.13336099,-79.82411326,-6.353049181,2793.700046
PER,14,21,-69.95307962,-14.93333917,-79.82411326,-6.353049181,298.6402993
PER,14,22,-76.72912743,-7.039530615,-79.82411326,-6.353049181,1088.631133
PER,14,23,-70.27755984,-17.64416077,-79.82411326,-6.353049181,228.6415222
PER,14,24,-80.54525512,-3.857496081,-79.82411326,-6.353049181,1178.731638
PER,14,25,-73.44492865,-9.621717782,-79.82411326,-6.353049181,605.8439575
PER,15,1,-78.05017218,-5.077252864,-76.62769784,-11.78596373,6997.296591
