,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
15270,Mid-Western Regional (A),2014,"7,132",-
15270,Mid-Western Regional (A),2015,"7,389",-
15270,Mid-Western Regional (A),2016,"7,541",5.3
15270,Mid-Western Regional (A),2017,"7,701",-
15300,Moree Plains (A),2011,-,3.8
15300,Moree Plains (A),2013,"3,606",-
15300,Moree Plains (A),2014,"3,797",-
15300,Moree Plains (A),2015,"3,925",-
15300,Moree Plains (A),2016,"3,994",4.3
15300,Moree Plains (A),2017,"4,095",-
15350,Mosman (A),2011,-,2.9
15350,Mosman (A),2013,"15,112",-
15350,Mosman (A),2014,"15,797",-
15350,Mosman (A),2015,"16,265",-
15350,Mosman (A),2016,"16,675",3.1
15350,Mosman (A),2017,"16,836",-
15520,Murray River (A),2011,-,5.3
15520,Murray River (A),2013,"2,671",-
15520,Murray River (A),2014,"2,962",-
15520,Murray River (A),2015,"3,109",-
15520,Murray River (A),2016,"3,133",5.6
15520,Murray River (A),2017,"3,311",-
15560,Murrumbidgee (A),2011,-,4.7
15560,Murrumbidgee (A),2013,"1,231",-
15560,Murrumbidgee (A),2014,"1,345",-
15560,Murrumbidgee (A),2015,"1,404",-
15560,Murrumbidgee (A),2016,"1,382",4.8
15560,Murrumbidgee (A),2017,"1,463",-
15650,Muswellbrook (A),2011,-,3.5
15650,Muswellbrook (A),2013,"4,944",-
15650,Muswellbrook (A),2014,"5,089",-
15650,Muswellbrook (A),2015,"5,318",-
15650,Muswellbrook (A),2016,"5,298",4.9
15650,Muswellbrook (A),2017,"5,289",-
15700,Nambucca (A),2011,-,8.3
15700,Nambucca (A),2013,"3,099",-
15700,Nambucca (A),2014,"3,706",-
15700,Nambucca (A),2015,"4,139",-
15700,Nambucca (A),2016,"4,290",8.0
15700,Nambucca (A),2017,"4,352",-
15750,Narrabri (A),2011,-,4.8
15750,Narrabri (A),2013,"3,908",-
15750,Narrabri (A),2014,"4,277",-
15750,Narrabri (A),2015,"4,433",-
15750,Narrabri (A),2016,"4,378",4.4
15750,Narrabri (A),2017,"4,470",-
15800,Narrandera (A),2011,-,6.9
15800,Narrandera (A),2013,"1,550",-
15800,Narrandera (A),2014,"1,697",-
15800,Narrandera (A),2015,"1,704",-
15800,Narrandera (A),2016,"1,629",7.0
15800,Narrandera (A),2017,"1,716",-
15850,Narromine (A),2011,-,4.2
15850,Narromine (A),2013,"1,776",-
15850,Narromine (A),2014,"1,867",-
