Name	Native	Status	Population
Si Chomphu	อำเภอสีชมพู	District	77,410	64,212
Ubolratana	อำเภออุบลรัตน์	District	42,582	37,419
Waeng Noi	อำเภอแวงน้อย	District	42,493	38,388
Waeng Yai	อำเภอแวงใหญ่	District	29,008	27,461
Wiang Kao [← Phu Wiang]	อำเภอเวียงเก่า	District	...	19,263
Krabi	จังหวัดกระบี่	Province	336,210	362,203
Ao Luek	อำเภออ่าวลึก	District	44,520	45,866
Khao Phanom	อำเภอเขาพนม	District	38,740	45,561
Khlong Thom	อำเภอคลองท่อม	District	55,437	60,096
Ko Lanta	อำเภอเกาะลันตา	District	23,499	26,805
Lam Thap	อำเภอลำทับ	District	17,041	20,641
Mueang Krabi	อำเภอเมืองกระบี่	District	79,622	83,211
Nuea Khlong	อำเภอเหนือคลอง	District	47,088	49,107
Plai Phraya	อำเภอปลายพระยา	District	30,263	30,916
Krung Thep Mahanakhon [Bangkok]	กรุงเทพมหานคร	Province-level City	6,355,144	8,305,218
Bang Bon	เขตบางบอน	City District	82,585	138,698
Bang Kapi	เขตบางกะปิ	City District	159,014	355,591
Bang Khae	เขตบางแค	City District	192,504	290,911
Bang Khen	เขตบางเขน	City District	187,662	245,310
Bang Kho Laem	เขตบางคอแหลม	City District	135,388	130,138
Bang Khun Thian	เขตบางขุนเทียน	City District	120,016	276,488
Bangkok Noi	เขตบางกอกน้อย	City District	181,372	158,533
Bangkok Yai	เขตบางกอกใหญ่	City District	100,393	89,508
Bang Na	เขตบางนา	City District	113,399	181,625
Bang Phlat	เขตบางพลัด	City District	137,344	174,275
Bang Rak	เขตบางรัก	City District	72,670	50,728
Bang Sue	เขตบางซื่อ	City District	180,598	132,948
Bueng Kum	เขตบึงกุ่ม	City District	152,562	135,671
Chatuchak	เขตจตุจักร	City District	190,578	332,877
Chom Thong	เขตจอมทอง	City District	195,602	197,409
Din Daeng	เขตดินแดง	City District	186,319	158,288
Don Mueang	เขตดอนเมือง	City District	160,444	214,970
Dusit	เขตดุสิต	City District	175,658	102,656
Huai Khwang	เขตห้วยขวาง	City District	90,185	168,583
Khan Na Yao	เขตคันนายาว	City District	85,576	126,856
Khlong Sam Wa	เขตคลองสามวา	City District	99,352	220,339
Khlong San	เขตคลองสาน	City District	127,152	96,784
Khlong Toei	เขตคลองเตย	City District	159,527	179,394
Lak Si	เขตหลักสี่	City District	131,766	167,415
Lat Krabang	เขตลาดกระบัง	City District	128,199	299,775
Lat Phrao	เขตลาดพร้าว	City District	119,838	165,220
Min Buri	เขตมีนบุรี	City District	110,551	225,452
Nong Chok	เขตหนองจอก	City District	98,407	167,896
Nong Khaem	เขตหนองแขม	City District	122,062	192,489
Pathum Wan	เขตปทุมวัน	City District	116,401	84,356
Phasi Charoen	เขตภาษีเจริญ	City District	158,827	197,426
Phaya Thai	เขตพญาไท	City District	102,652	127,799
Phra Khanong	เขตพระโขนง	City District	111,720	142,859
Phra Nakhon	เขตพระนคร	City District	92,636	56,715
Pom Prap Sattru Phai	เขตป้อมปราบศัตรูพ่าย	City District	85,857	42,262
Prawet	เขตประเวศ	City District	134,189	220,197
Rat Burana	เขตราษฎร์บูรณะ	City District	107,080	110,391
Ratchathewi	เขตราชเทวี	City District	119,574	108,851
Sai Mai	เขตสายไหม	City District	158,839	212,560
Samphanthawong	เขตสัมพันธวงศ์	City District	42,255	20,765
Saphan Sung	เขตสะพานสูง	City District	80,082	120,165
Sathon	เขตสาทร	City District	124,902	138,490
Suan Luang	เขตสวนหลวง	City District	126,970	235,063
Taling Chan	เขตตลิ่งชัน	City District	111,878	136,546
Thawi Watthana	เขตทวีวัฒนา	City District	58,255	90,218
Thon Buri	เขตธนบุรี	City District	210,653	155,583
Thung Khru	เขตทุ่งครุ	City District	97,818	150,358
Wang Thonglang	เขตวังทองหลาง	City District	120,907	224,013
Watthana	เขตวัฒนา	City District	91,596	171,150
