国コード	第二行政区画コード	日本語表記	英語表記
JP	02408	東北町	tohoku-machi
JP	02411	六ヶ所村	rokkasho-mura
JP	02412	おいらせ町	oirase-cho
JP	02423	大間町	oma-machi
JP	02424	東通村	higashidori-mura
JP	02425	風間浦村	kazamaura-mura
JP	02426	佐井村	sai-mura
JP	02441	三戸町	sannohe-machi
JP	02442	五戸町	gonohe-machi
JP	02443	田子町	takko-machi
JP	02445	南部町	nanbu-cho
JP	02446	階上町	hashikami-cho
JP	02450	新郷村	shingo-mura
JP	03000	岩手
JP	03201	盛岡市	morioka-shi
JP	03202	宮古市	miyako-shi
JP	03203	大船渡市	ofunato-shi
JP	03205	花巻市	hanamaki-shi
JP	03206	北上市	kitakami-shi
JP	03207	久慈市	kuji-shi
JP	03208	遠野市	tono-shi
JP	03209	一関市	ichinoseki-shi
JP	03210	陸前高田市	rikuzentakata-shi
JP	03211	釜石市	kamaishi-shi
JP	03213	二戸市	ninohe-shi
JP	03214	八幡平市	hachimantai-shi
JP	03215	奥州市	oshu-shi
JP	03216	滝沢市	takizawa-shi
JP	03301	雫石町	shizukuishi-cho
JP	03302	葛巻町	kuzumaki-machi
JP	03303	岩手町	iwate-machi
JP	03305	滝沢村	takizawa-mura
JP	03321	紫波町	shiwa-cho
JP	03322	矢巾町	yahaba-cho
JP	03366	西和賀町	nishiwaga-machi
JP	03381	金ケ崎町	kanegasaki-cho
JP	03402	平泉町	hiraizumi-cho
JP	03422	藤沢町	fujisawa-cho
JP	03441	住田町	sumita-cho
JP	03461	大槌町	otsuchi-cho
JP	03482	山田町	yamada-machi
JP	03483	岩泉町	iwaizumi-cho
JP	03484	田野畑村	tanohata-mura
JP	03485	普代村	fudai-mura
JP	03487	川井村	kawai-mura
JP	03501	軽米町	karumai-machi
JP	03503	野田村	noda-mura
JP	03506	九戸村	kunohe-mura
JP	03507	洋野町	hirono-cho
JP	03524	一戸町	ichinohe-machi
JP	04000	宮城
JP	04100	仙台市	sendai-shi
JP	04101	仙台市青葉区	sendai-shi aoba-ku
