region_schema	region_parent	region_child	pop_2020	no_exc
admin_1	bg	bg-23	306164	True
admin_1	bg	bg-24	294759	True
admin_1	bg	bg-25	108992	True
admin_1	bg	bg-26	209105	True
admin_1	bg	bg-27	156462	True
admin_1	bg	bg-28	125822	True
admin_1	bh	bh-13	564170	True
admin_1	bh	bh-14	207019	True
admin_1	bh	bh-15	216758	True
admin_1	bh	bh-16	558139	True
admin_1	bh	bh-17	441868	True
admin_1	bi	bi-bb	439979	True
admin_1	bi	bi-bl	727045	True
admin_1	bi	bi-bm	955606	True
admin_1	bi	bi-br	891557	True
admin_1	bi	bi-ca	321028	True
admin_1	bi	bi-ci	683879	True
admin_1	bi	bi-gi	872656	True
admin_1	bi	bi-ki	936111	True
admin_1	bi	bi-kr	494584	True
admin_1	bi	bi-ky	832767	True
admin_1	bi	bi-ma	536944	True
admin_1	bi	bi-mu	440721	True
admin_1	bi	bi-mw	325839	True
admin_1	bi	bi-my	989536	True
admin_1	bi	bi-ng	872031	True
admin_1	bi	bi-rt	502755	True
admin_1	bi	bi-ry	601831	True
admin_1	bj	bj-ak	1071126	True
admin_1	bj	bj-al	1217470	True
admin_1	bj	bj-aq	2038850	True
admin_1	bj	bj-bo	1683472	True
admin_1	bj	bj-co	882449	True
admin_1	bj	bj-do	739368	True
admin_1	bj	bj-ko	976946	True
admin_1	bj	bj-li	615660	True
admin_1	bj	bj-mo	619675	True
admin_1	bj	bj-ou	1444099	True
admin_1	bj	bj-pl	772344	True
admin_1	bj	bj-zo	1077360	True
admin_1	bl	bl-x00~	6806	True
admin_1	bm	bm-dev	9022	True
admin_1	bm	bm-ha	1367	True
admin_1	bm	bm-ham	1932	True
admin_1	bm	bm-pag	4285	True
admin_1	bm	bm-pem	1119	True
admin_1	bm	bm-san	2700	True
admin_1	bm	bm-sg	180	True
admin_1	bm	bm-sge	4705	True
admin_1	bm	bm-smi	4971	True
admin_1	bm	bm-sou	3	True
admin_1	bm	bm-war	6595	True
admin_1	bn	bn-be	61609	True
admin_1	bn	bn-bm	321743	True
admin_1	bn	bn-te	16402	True
admin_1	bn	bn-tu	37635	True
admin_1	bo	bo-b	475395	True
admin_1	bo	bo-c	2065763	True
admin_1	bo	bo-h	635015	True
admin_1	bo	bo-l	3121906	True
admin_1	bo	bo-n	178754	True
admin_1	bo	bo-o	620242	True
admin_1	bo	bo-p	924880	True
admin_1	bo	bo-s	3270903	True
admin_1	bo	bo-t	567774	True
admin_1	br	br-ac	968248	True
admin_1	br	br-al	3273087	True
admin_1	br	br-am	4417344	True
admin_1	br	br-ap	812590	True
admin_1	br	br-ba	15079305	True
admin_1	br	br-ce	9580333	True
admin_1	br	br-df	3204364	True
admin_1	br	br-es	3558215	True
admin_1	br	br-go	7307879	True
admin_1	br	br-ma	7590395	True
admin_1	br	br-mg	21596487	True
admin_1	br	br-ms	2966303	True
admin_1	br	br-mt	3865048	True
admin_1	br	br-pa	9213700	True
admin_1	br	br-pb	4054189	True
admin_1	br	br-pe	9838659	True
admin_1	br	br-pi	3438959	True
admin_1	br	br-pr	11428292	True
admin_1	br	br-rj	17321075	True
admin_1	br	br-rn	3614023	True
admin_1	br	br-ro	1833965	True
admin_1	br	br-rr	629626	True
admin_1	br	br-rs	11135809	True
admin_1	br	br-sc	7158903	True
admin_1	br	br-se	2388857	True
admin_1	br	br-sp	45750341	True
admin_1	br	br-to	1769810	True
admin_1	bs	bs-ak	478	True
admin_1	bs	bs-bi	205	True
admin_1	bs	bs-bp	32	True
admin_1	bs	bs-by	270	True
admin_1	bs	bs-ce	1907	True
admin_1	bs	bs-ci	1245	True
admin_1	bs	bs-ck	280	True
admin_1	bs	bs-co	8640	True
admin_1	bs	bs-cs	1023	True
admin_1	bs	bs-eg	4033	True
admin_1	bs	bs-ex	6669	True
admin_1	bs	bs-fp	2667	True
admin_1	bs	bs-hi	812	True
admin_1	bs	bs-in	827	True
admin_1	bs	bs-li	2121	True
admin_1	bs	bs-mc	423	True
admin_1	bs	bs-mg	264	True
admin_1	bs	bs-mi	159	True
admin_1	bs	bs-ne	2461	True
admin_1	bs	bs-no	3053	True
admin_1	bs	bs-ns	3841	True
admin_1	bs	bs-rc	71	True
admin_1	bs	bs-ri	18	True
admin_1	bs	bs-sa	944	True
admin_1	bs	bs-se	2507	True
admin_1	bs	bs-so	3536	True
admin_1	bs	bs-ss	623	True
admin_1	bs	bs-sw	229	True
admin_1	bs	bs-wg	44098	True
admin_1	bs	bs-x01~	200923	True
admin_1	bt	bt-11	44674	True
admin_1	bt	bt-12	154423	True
admin_1	bt	bt-13	14198	True
admin_1	bt	bt-14	107699	True
admin_1	bt	bt-15	132312	True
admin_1	bt	bt-21	25045	True
admin_1	bt	bt-22	24497	True
admin_1	bt	bt-23	17191	True
admin_1	bt	bt-24	57805	True
admin_1	bt	bt-31	68442	True
admin_1	bt	bt-32	17556	True
admin_1	bt	bt-33	20763	True
admin_1	bt	bt-34	23055	True
admin_1	bt	bt-41	69386	True
admin_1	bt	bt-42	48640	True
admin_1	bt	bt-43	14547	True
admin_1	bt	bt-44	18013	True
admin_1	bt	bt-45	55834	True
admin_1	bt	bt-ga	3994	True
admin_1	bt	bt-ty	21422	True
admin_1	bw	bw-ce	681280	True
admin_1	bw	bw-fr	71844	True
admin_1	bw	bw-ga	161752	True
admin_1	bw	bw-gh	56503	True
admin_1	bw	bw-jw	2770	True
admin_1	bw	bw-kg	58859	True
admin_1	bw	bw-kl	111977	True
admin_1	bw	bw-kw	394711	True
admin_1	bw	bw-lo	21100	True
admin_1	bw	bw-ne	128471	True
admin_1	bw	bw-nw	212438	True
admin_1	bw	bw-se	226779	True
admin_1	bw	bw-so	240995	True
admin_1	bw	bw-sp	19045	True
admin_1	bw	bw-st	865	True
admin_1	by	by-br	1334477	True
admin_1	by	by-hm	2079510	True
admin_1	by	by-ho	1356918	True
admin_1	by	by-hr	981339	True
admin_1	by	by-ma	985439	True
admin_1	by	by-mi	1343401	True
admin_1	by	by-vi	1101641	True
admin_1	bz	bz-bz	123069	True
admin_1	bz	bz-cy	99053	True
admin_1	bz	bz-czl	53028	True
admin_1	bz	bz-ow	47083	True
admin_1	bz	bz-sc	46823	True
admin_1	bz	bz-tol	35933	True
admin_1	ca	ca-ab	4401011	True
admin_1	ca	ca-bc	4813053	True
admin_1	ca	ca-mb	1330414	True
admin_1	ca	ca-nb	735273	True
admin_1	ca	ca-nl	483899	True
admin_1	ca	ca-ns	884471	True
admin_1	ca	ca-nt	41487	True
admin_1	ca	ca-nu	26568	True
admin_1	ca	ca-on	14283047	True
admin_1	ca	ca-pe	140469	True
admin_1	ca	ca-qc	7696031	True
admin_1	ca	ca-sk	1160926	True
admin_1	ca	ca-yt	41304	True
admin_1	cd	cd-bc	3080246	True
admin_1	cd	cd-bn	8518382	True
admin_1	cd	cd-eq	11073328	True
admin_1	cd	cd-ka	28342689	True
admin_1	cd	cd-ke	10104371	True
admin_1	cd	cd-kn	7954334	True
admin_1	cd	cd-kw	13414549	True
