MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80047180000,89399,Unincorporated ACT,8,Australian Capital Territory,0.004
80006350000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0519
80047600000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0018
80006422000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0159
80006421000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0173
80006410000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0358
80006402000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0212
80047140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0074
80006390000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0288
80006380000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0382
80050140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80047590000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0045
80047150000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0029
80047160000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0021
80006401000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0121
80050110000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0026
80050100000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80047610000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0013
80006300000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0252
80006310000,89399,Unincorporated ACT,8,Australian Capital Territory,0.038
80006320000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0399
80006331000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0113
80006332000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0257
80006340000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0325
80050090000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0011
80050080000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0018
80049950000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0032
80047620000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0016
80047440000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0016
80047430000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80006520000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0053
80050170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0007
80006360000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0022
80050150000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0012
80050160000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0013
80050190000,89399,Unincorporated ACT,8,Australian Capital Territory,0.001
80006290000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0539
80006280000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0525
80006270000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0293
80047090000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0122
80050070000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0019
80050180000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0033
80006530000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0135
80047480000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0033
80050050000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80050060000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0028
80047370000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80047200000,89399,Unincorporated ACT,8,Australian Capital Territory,0.003
80006130000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0655
80050270000,89399,Unincorporated ACT,8,Australian Capital Territory,0.003
80006540000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0015
80006460000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0105
80047570000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0019
80006450000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0586
80006440000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0337
80050260000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0029
80006430000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0435
80050330000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0037
80050320000,89399,Unincorporated ACT,8,Australian Capital Territory,0.001
80050280000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0021
80047190000,89399,Unincorporated ACT,8,Australian Capital Territory,0.2213
80049980000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0036
80050200000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0007
